csize		stride		loadtime[ns]
1024		1		2.05346
1024		2		2.0619
1024		4		2.06119
1024		8		2.06191
1024		16		1.81783
1024		32		1.84522
1024		64		1.08573
1024		128		2.4429
1024		256		2.99933
1024		512		2.50569
2048		1		2.0317
2048		2		2.03673
2048		4		2.03677
2048		8		2.03316
2048		16		2.04106
2048		32		1.79958
2048		64		1.82695
2048		128		1.07528
2048		256		2.41736
2048		512		2.97171
2048		1024		2.48289
4096		1		2.02202
4096		2		2.0245
4096		4		2.02453
4096		8		2.01891
4096		16		2.02295
4096		32		2.03064
4096		64		1.79044
4096		128		1.81782
4096		256		1.07007
4096		512		2.40458
4096		1024		2.95769
4096		2048		2.47147
8192		1		2.26924
8192		2		2.01846
8192		4		2.01835
8192		8		2.01178
8192		16		2.01379
8192		32		2.01766
8192		64		2.02535
8192		128		1.78585
8192		256		1.8133
8192		512		1.06746
8192		1024		2.39817
8192		2048		2.9509
8192		4096		2.4658
16384		1		2.26938
16384		2		2.27013
16384		4		2.27183
16384		8		2.01682
16384		16		2.02145
16384		32		2.02375
16384		64		2.0159
16384		128		2.02322
16384		256		1.78401
16384		512		1.81102
16384		1024		1.06622
16384		2048		2.39492
16384		4096		2.94748
16384		8192		2.46287
32768		1		1.99753
32768		2		1.96278
32768		4		1.92763
32768		8		2.34992
32768		16		3.02355
32768		32		5.36315
32768		64		5.34127
32768		128		5.34992
32768		256		5.367
32768		512		4.98626
32768		1024		5.05
32768		2048		4.31527
32768		4096		5.58287
32768		8192		9.751
32768		16384		2.46145
65536		1		1.99935
65536		2		1.96757
65536		4		1.93529
65536		8		2.35928
65536		16		3.38769
65536		32		5.45361
65536		64		5.52377
65536		128		6.1492
65536		256		6.57019
65536		512		7.37292
65536		1024		11.0142
65536		2048		5.04924
65536		4096		4.31429
65536		8192		10.7953
65536		16384		9.74964
65536		32768		2.46079
131072		1		2.00556
131072		2		1.98108
131072		4		1.96583
131072		8		2.42665
131072		16		4.97004
131072		32		8.79368
131072		64		8.84397
131072		128		9.05101
131072		256		10.1077
131072		512		10.8933
131072		1024		13.8435
131072		2048		10.7164
131072		4096		5.04868
131072		8192		10.0851
131072		16384		10.7948
131072		32768		9.74925
131072		65536		2.46039
262144		1		2.2711
262144		2		2.26227
262144		4		2.35056
262144		8		2.95072
262144		16		8.18956
262144		32		19.9201
262144		64		19.9374
262144		128		20.0715
262144		256		20.3451
262144		512		20.9088
262144		1024		22.2287
262144		2048		16.9321
262144		4096		10.9323
262144		8192		11.366
262144		16384		9.80462
262144		32768		10.7939
262144		65536		11.7121
262144		131072		2.46004
524288		1		2.27125
524288		2		2.26347
524288		4		2.35217
524288		8		2.94753
524288		16		8.19777
524288		32		19.9259
524288		64		19.949
524288		128		20.0891
524288		256		20.3752
524288		512		20.9216
524288		1024		22.1356
524288		2048		22.1928
524288		4096		14.8466
524288		8192		11.0251
524288		16384		10.503
524288		32768		10.8045
524288		65536		11.4697
524288		131072		9.74691
524288		262144		2.46004
1048576		1		2.26705
1048576		2		2.00721
1048576		4		2.33744
1048576		8		2.92001
1048576		16		8.20247
1048576		32		19.9374
1048576		64		19.9374
1048576		128		20.0072
1048576		256		20.148
1048576		512		20.4847
1048576		1024		21.0627
1048576		2048		20.9855
1048576		4096		18.8639
